183	180	136	2
200	198	163	2
203	202	168	2
182	179	135	2
53	55	19	2
33	34	8	2
54	55	21	2
140	139	88	2
201	199	164	2
4	0	0	2
177	174	129	2
58	59	19	2
117	152	218	1
57	109	156	1
218	211	202	2
31	29	18	2
95	146	219	1
180	177	133	2
142	181	226	1
55	56	22	2
16	15	1	2
128	130	88	2
217	216	225	2
36	39	7	2
205	204	170	2
32	33	7	2
156	159	127	2
199	197	163	2
60	64	22	2
150	192	255	1
158	160	124	2
74	75	65	2
183	181	140	2
129	129	129	2
137	177	225	1
181	178	134	2
105	103	49	2
30	69	47	2
154	192	255	1
111	117	170	1
199	198	160	2
185	183	142	2
95	94	44	2
80	86	127	1
43	87	134	1
90	138	216	1
46	97	160	1
101	96	157	2
105	137	196	1
154	192	255	1
199	197	163	2
163	162	112	2
108	115	172	1
164	163	113	2
116	153	211	1
62	56	205	2
136	138	92	2
73	71	23	2
22	16	3	2
164	164	118	2
52	129	122	2
70	71	32	2
207	215	255	1
127	161	214	1
151	152	102	2
169	185	231	1
152	152	112	2
15	18	157	2
220	189	220	2
192	190	150	2
181	179	138	2
205	204	170	2
128	131	139	2
138	136	82	2
52	54	18	2
93	97	148	1
196	101	222	2
63	65	23	2
164	164	116	2
121	155	215	1
77	131	186	1
88	86	32	2
182	178	137	2
7	8	6	2
128	154	201	1
82	82	36	2
108	156	214	1
182	181	137	2
39	105	255	2
148	145	94	2
133	139	86	2
183	179	138	2
181	178	134	2
5	0	2	2
175	189	241	1
172	177	238	1
127	138	236	2
53	54	20	2
199	197	162	2
150	154	113	2
224	98	57	2
122	143	165	1
116	119	69	2
149	152	103	2
156	174	133	2
103	206	201	2
32	31	5	2
164	164	118	2
177	175	127	2
179	174	129	2
143	169	235	1
171	171	125	2
172	168	120	2
138	135	84	2
188	186	145	2
217	123	154	2
141	140	89	2
138	139	89	2
140	140	86	2
120	151	220	1
0	0	255	2
248	250	250	2
163	161	107	2
151	156	111	2
149	151	105	2
47	92	149	1
158	193	255	1
131	162	231	1
60	121	187	1
197	194	163	2
146	164	225	1
183	179	138	2
167	166	116	2
155	162	125	2
155	159	118	2
47	101	156	1
82	92	132	1
174	173	123	2
114	118	146	2
171	167	114	2
199	197	162	2
210	194	182	2
165	165	117	2
138	137	87	2
113	151	215	1
155	193	255	1
151	152	102	2
204	202	168	2
165	164	114	2
6	6	0	2
132	134	128	2
84	92	132	1
172	171	121	2
110	112	93	2
49	99	152	1
2	6	85	2
153	192	254	1
86	87	71	2
123	158	118	2
16	14	4	2
75	77	31	2
163	182	89	2
178	179	137	2
167	163	114	2
87	86	35	2
176	172	131	2
31	68	48	2
161	165	130	2
180	178	130	2
185	177	137	2
179	177	129	2
80	78	48	2
15	22	19	2
184	183	139	2
250	255	254	2
179	177	129	2
66	70	29	2
74	74	34	2
149	152	102	2
179	176	132	2
54	23	228	2
144	167	229	1
60	62	20	2
133	135	69	2
229	212	203	2
57	100	255	2
82	54	207	2
96	141	222	1
81	79	25	2
162	173	117	2
162	162	144	2
181	179	131	2
71	71	53	2
181	178	133	2
56	115	184	1
188	189	147	2
102	100	46	2
119	118	108	2
156	157	107	2
181	181	133	2
164	163	113	2
173	168	129	2
180	179	135	2
59	59	13	2
176	173	128	2
181	181	135	2
55	80	144	1
59	63	22	2
172	154	125	2
34	61	45	2
178	179	137	2
13	11	10	2
91	66	248	2
179	176	132	2
163	161	113	2
178	178	132	2
188	185	141	2
98	136	194	1
115	108	91	2
181	178	133	2
177	178	136	2
17	195	250	2
174	174	128	2
165	165	117	2
55	59	48	2
0	0	185	2
148	148	148	2
175	181	134	2
201	200	162	2
146	142	93	2
124	164	216	1
199	197	162	2
128	131	85	2
9	27	128	2
204	204	168	2
196	195	157	2
81	89	129	1
91	69	248	2
11	10	0	2
234	126	85	2
143	142	84	2
199	197	163	2
117	116	58	2
48	49	10	2
54	111	172	1
102	106	159	1
31	18	4	2
255	253	255	2
136	169	218	1
96	71	245	2
81	116	190	1
179	174	125	2
11	9	8	2
12	13	4	2
137	176	245	1
164	162	114	2
58	105	156	1
145	146	96	2
53	46	235	2
99	96	68	2
154	166	230	1
111	114	64	2
103	105	63	2
173	90	152	2
54	58	23	2
255	0	128	2
150	191	254	1
0	252	244	2
183	182	138	2
43	64	116	1
178	178	132	2
173	177	178	2
55	55	19	2
149	151	99	2
27	90	80	2
206	204	170	2
169	183	236	1
177	177	129	2
100	96	43	2
166	180	232	1
198	124	68	2
150	153	108	2
58	23	233	2
132	130	76	2
139	178	246	1
117	149	208	1
54	54	18	2
45	47	17	2
78	54	214	2
201	199	164	2
14	10	9	2
191	190	156	2
63	63	23	2
142	136	91	2
130	169	221	1
60	61	21	2
189	187	147	2
255	255	255	2
197	195	160	2
121	159	213	1
181	181	141	2
197	197	157	2
122	160	214	1
67	69	39	2
109	157	215	1
124	83	88	2
196	196	156	2
156	159	157	2
45	46	44	2
176	177	135	2
103	206	201	2
181	181	141	2
126	126	90	2
159	158	114	2
1	1	1	2
202	201	163	2
128	162	228	1
109	149	208	1
15	13	3	2
4	0	0	2
50	51	12	2
162	178	225	1
108	150	225	1
167	179	237	1
106	209	255	2
92	126	192	1
180	177	132	2
44	102	161	1
118	157	212	1
182	177	138	2
0	255	0	2
183	181	133	2
61	65	24	2
162	166	131	2
157	161	125	2
205	204	170	2
59	63	22	2
85	86	36	2
43	93	159	1
127	159	218	1
66	67	25	2
193	191	151	2
52	57	18	2
170	169	119	2
144	142	88	2
55	56	22	2
165	181	228	1
178	176	128	2
202	200	160	2
140	179	223	1
63	65	23	2
191	191	161	2
153	152	101	2
51	55	14	2
16	7	188	2
79	80	30	2
182	180	132	2
148	151	101	2
178	176	128	2
129	158	225	1
131	167	221	1
22	23	3	2
182	179	135	2
31	32	6	2
236	219	79	2
159	162	117	2
148	183	223	1
35	34	8	2
16	14	3	2
163	164	114	2
197	196	162	2
35	34	6	2
198	198	174	2
106	144	202	1
36	38	2	2
150	188	252	1
139	138	82	2
57	108	164	1
251	253	254	2
178	176	128	2
64	63	19	2
178	175	131	2
182	182	142	2
10	12	6	2
79	111	186	1
60	62	26	2
118	165	216	1
144	143	109	2
156	172	165	2
51	53	17	2
55	53	18	2
5	6	0	2
203	212	255	1
207	190	181	2
152	194	253	1
98	137	216	1
70	136	201	1
2	3	1	2
157	160	128	2
176	175	131	2
16	14	3	2
182	179	135	2
145	146	96	2
40	38	7	2
193	194	150	2
5	5	0	2
198	210	252	1
128	157	231	1
112	111	53	2
199	197	163	2
133	136	86	2
43	90	151	1
255	254	255	2
195	195	155	2
23	23	5	2
163	162	112	2
189	187	147	2
170	169	119	2
123	158	226	1
68	69	25	2
79	120	199	1
156	159	120	2
53	54	34	2
20	17	2	2
177	175	127	2
110	212	207	2
178	175	130	2
4	0	183	2
156	155	99	2
226	210	197	2
175	176	120	2
182	180	132	2
20	20	8	2
16	16	10	2
178	175	131	2
12	12	12	2
4	0	72	2
55	96	145	1
179	176	132	2
182	178	137	2
150	186	255	1
140	143	94	2
4	4	0	2
136	180	244	1
188	185	140	2
178	175	131	2
11	14	5	2
0	255	255	2
164	163	112	2
53	57	22	2
16	29	21	2
54	54	18	2
129	133	92	2
91	9	0	2
17	14	217	2
179	177	129	2
126	170	223	1
139	142	87	2
167	183	236	1
53	56	24	2
177	174	129	2
163	197	255	1
37	38	6	2
165	163	115	2
139	169	224	1
142	142	88	2
139	136	98	2
149	151	99	2
179	180	184	2
186	185	141	2
179	165	136	2
198	198	158	2
139	160	228	1
198	196	162	2
157	194	255	1
1	3	0	2
171	170	120	2
15	13	13	2
38	39	5	2
223	224	222	2
178	178	130	2
71	73	27	2
51	51	51	2
139	138	194	1
176	176	130	2
15	14	0	2
178	177	133	2
0	4	183	2
169	166	115	2
154	192	255	1
180	177	132	2
63	64	22	2
176	174	120	2
161	175	228	1
180	180	134	2
192	192	152	2
183	180	135	2
165	163	115	2
17	17	1	2
65	91	137	1
